Card Name,Rarity,Number,Price,Market Price,Listing Count,Mention Count
Sage with Eyes of Blue (Blue),Ultra Rare,#LDS2-EN011,$5.20,$6.78,43,0
Elemental HERO Stratos,Ultra Rare,#JMPS-EN008,$16.90,$29.37,28,7
Buster Blader (Duel Terminal),Duel Terminal Technology Common,#HAC1-EN007,$0.42,$0.54,36,0
Dark Resonator,Duel Terminal Normal Parallel Rare,#DTP1-EN024,$88.00,$88.00,3,1
Ghost Ogre & Snow Rabbit,Ultra Rare,#DUPO-EN075,$0.84,$1.60,137,24
Twister (UTR),Ultimate Rare,#STON-EN042,$5.48,$12.55,58,0
Flying Elephant,Secret Rare,#BLRR-EN003,$3.07,$4.18,38,0
Mythical Beast Master Cerberus,Secret Rare,#MP18-EN185,$1.99,$2.83,42,0
Madolche Messengelato,Super Rare,#OP14-EN004,$0.80,$1.29,79,0
Windwitch - Glass Bell,Common / Short Print,#OP08-EN019,$1.49,$2.37,31,2
Crystal Bond (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#MAMA-EN114,$85.89,$87.56,6,0
Charcoal Inpachi (UTR),Ultimate Rare,#SOD-EN001,$2.97,$21.88,62,0
Chimeratech Fortress Dragon,Gold Rare,#PGL3-EN057,$0.73,$2.82,65,5
Scrap Raptor,Common / Short Print,#LIOV-EN021,$0.08,$0.20,198,3
"Endymion, the Mighty Master of Magic",Ultra Rare,#SR08-EN001,$0.35,$1.56,106,0
D.D. Crow,Common / Short Print,#SGX3-ENF10,$0.70,$0.78,28,10
Card Trooper,Secret Rare,#BLRR-EN053,$0.66,$2.08,49,0
Inzektor Giga-Mantis (UTR),Ultimate Rare,#ORCS-EN021,$2.99,$5.82,111,0
Thunder Sea Horse,Secret Rare,#ABYR-EN098,$0.75,$1.78,40,0
Doodle Beast - Tyranno,Secret Rare,#BLCR-EN033,$0.25,$0.57,231,0
Swap Frog,Common / Short Print,#SOVR-EN034,$0.58,$1.09,163,4
Time Stream,Secret Rare,#BLAR-EN012,$1.45,$2.42,49,0
Solar Recharge,Common / Short Print,#SDLI-EN026,$0.99,$1.32,53,2
Photon Papilloperative,Ultimate Rare,#AP02-EN002,$13.00,$14.52,25,0
Silent Magician LV4,Super Rare,#NTR-EN001,$2.08,$7.92,44,0
Tsukuyomi,Rare,#DCR-075,$0.89,$2.81,181,0
Starving Venom Predapower Fusion Dragon,Ultra Rare,#DIFO-EN036,$0.35,$1.30,164,0
Magical Meltdown,Rare,#MAGO-EN152,$0.34,$0.67,158,0
Black Rose Dragon,Ultra Rare,#CSOC-EN039,$3.43,$8.71,61,15
Gnomaterial,Secret Rare,#DANE-EN000,$2.99,$3.11,67,0
Dark Ruler Ha Des,Ultra Rare,#LOD-001,$0.50,$2.90,137,1
Last Will,Common / Short Print,#SDY-039,$0.15,$1.45,185,1
Nimble Momonga,Super Rare,#CP02-EN002,$30.10,$86.95,28,0
Salamangreat Jack Jaguar,Super Rare,#OP12-EN006,$2.29,$3.22,61,0
Herald of the Arc Light,Super Rare,#MP15-EN164,$4.01,$5.43,16,8
SPYRAL Resort,Super Rare,#INOV-EN089,$0.20,$0.73,121,0
Bottomless Trap Hole,Ultra Rare,#LCYW-EN181,$0.98,$2.02,91,5
Monster Reborn,Ultra Rare,#LOB-EN118,$9.20,$9.65,29,72
Cyber Eternity Dragon,Ultra Rare,#LDS2-EN033,$2.49,$3.34,53,0
Elemental HERO Grandmerge,Ultra Rare,#DUPO-EN004,$1.48,$2.48,98,0
Mystic Piper,Secret Rare,#EXVC-EN005,$14.23,$14.45,42,0
Madolche Magileine,Super Rare,#REDU-EN024,$3.00,$3.61,59,0
Tour Guide From the Underworld (Alternate Art),Premium Gold Rare,#MAGO-EN007,$0.95,$1.73,77,0
Treacherous Trap Hole,Secret Rare,#CSOC-EN089,$1.43,$6.65,44,0
Star Seraph Sovereignty,Prismatic Secret Rare,#WSUP-EN020,$0.31,$1.08,69,0
Smashing Ground,Duel Terminal Rare Parallel Rare,#DT03-EN043,$9.47,$9.60,23,0
"Mardel, Generaider Boss of Light",Secret Rare,#MYFI-EN027,$6.00,$7.85,47,0
True Draco Apocalypse,Super Rare,#OP05-EN013,$1.99,$4.11,47,0
Card of Safe Return,Ultra Rare,#LON-029,$0.75,$4.54,101,0
Kozmo Farmgirl,Gold Secret Rare,#PGL3-EN024,$2.78,$3.45,54,0
Ring of Destruction,Ultra Rare,#LCKC-EN050,$0.58,$1.25,114,10
Number C32: Shark Drake Veiss (UTR),Ultimate Rare,#ABYR-EN039,$4.75,$8.62,53,0
Imperial Bower (CR),Collector's Rare,#KICO-EN003,$15.49,$17.24,34,0
Witchcrafter Edel,Prismatic Secret Rare,#MP20-EN222,$0.50,$0.99,96,0
Obedience Schooled,Ultra Rare,#BLAR-EN071,$0.45,$0.70,116,1
Elemental Hero Wildedge,Ultra Rare,#EEN-EN035,$2.90,$8.61,74,0
Barricadeborg Blocker,Super Rare,#OP15-EN006,$0.80,$1.51,67,0
Dark Paladin,Ultra Rare,#DPYG-EN016,$2.44,$4.78,105,0
Evil Hero Inferno Wing (UTR),Ultimate Rare,#GLAS-EN038,$44.97,$85.99,35,0
Curse of Aramatir,Ultra Rare,#BLMR-EN099,$0.04,$0.15,159,1
"Goldenhair, the Newest Plunder Patroll",Ultra Rare,#GFP2-EN094,$0.15,$0.53,168,0
Tsumuha-Kutsunagi the Lord of Swords,Ultra Rare,#CYAC-ENSP1,$3.35,$5.72,62,0
Witchcrafter Golem Aruru,Secret Rare,#RIRA-EN028,$1.25,$3.30,89,0
Salamandra (Dark Duel Stories),Secret Rare,#DDS-006,$0.25,$3.90,199,0
Rocket Warrior,Secret Rare,#CT2-EN005,$1.20,$4.76,72,0
Guardragon Pisty,Super Rare,#SAST-EN052,$0.25,$0.84,122,0
"Beargram, Shelled Emperor of the Forest Crown",Ultra Rare,#PHHY-EN021,$0.20,$0.80,141,0
Herald of the Arc Light (SE),Super Rare,#NECH-ENS09,$3.50,$4.28,28,0
Superheavy Samurai Ogre Shutendoji,Super Rare,#CORE-EN094,$1.99,$4.50,68,0
D/D/D Oblivion King Abyss Ragnarok,Super Rare,#OP04-EN010,$5.00,$8.55,38,0
Mind Crush,Ultra Rare,#STP4-EN005,$60.00,$85.49,11,2
Total Defense Shogun,Secret Rare,#CT1-EN001,$0.38,$2.67,122,0
Wind-Up Zenmaines,Secret Rare,#PHSW-EN087,$3.18,$5.69,51,0
El Shaddoll Winda,Ultra Rare,#DUEA-EN048,$1.99,$3.71,68,0
S-Force Bridgehead,Secret Rare,#BLVO-EN057,$0.31,$0.79,117,0
Red-Eyes Darkness Metal Dragon,Premium Gold Rare,#MGED-EN009,$0.30,$0.82,165,5
Praying Mantis,Ultra Rare,#BLMR-EN033,$0.06,$0.13,173,1
Magical Meltdown,Super Rare,#SHVA-EN042,$0.53,$0.87,118,0
Armageddon Knight,Super Rare,#PTDN-EN021,$0.24,$2.75,58,1
Time-Space Trap Hole,Secret Rare,#MP15-EN119,$1.50,$2.75,82,2
Wind-Up Carrier Zenmaity (UTR),Ultimate Rare,#ORCS-EN044,$9.95,$14.19,75,0
Amazoness Swords Woman,Ultra Rare,#MFC-061,$0.74,$7.09,119,0
Beta The Electromagnet Warrior,Super Rare,#SDMY-EN002,$1.95,$3.15,45,0
Dark Flare Knight,Super Rare,#DCR-017,$1.00,$3.40,79,0
Black Whirlwind,Super Rare,#TU01-EN005,$34.99,$85.00,47,0
Gold Sarcophagus (Secret Pharaoh's Rare),Secret Pharaoh’s Rare,#MAMA-EN110,$75.00,$84.97,27,0
Chaos Witch,Super Rare,#PHHY-EN009,$0.15,$0.36,133,0
Sky Iris,Super Rare,#OP03-EN009,$2.80,$3.54,52,2
Thousand-Eyes Restrict,Common / Short Print,#LDS1-EN050,$0.74,$1.37,79,0
Number 54: Lion Heart,Secret Rare,#NUMH-EN026,$3.23,$5.66,58,1
Babycerasaurus,Rare,#WISU-EN013,$0.04,$0.08,162,3
Five-Headed Dragon,Ultra Rare,#SD09-ENSS1,$0.81,$2.02,114,0
Predaplant Ophrys Scorpio,Ultra Rare,#DUPO-EN066,$0.46,$1.06,170,0
Majespecter Raccoon - Bunbuku,Ultra Rare,#DOCS-EN026,$3.09,$8.48,90,0
Superheavy Samurai Ninja Sarutobi,Rare,#INOV-EN042,$0.10,$1.39,126,0
Nightmare Wheel,Ultra Rare,#PGD-106,$1.63,$9.42,118,0
Axe of Despair,Ultra Rare,#LART-EN051,$1.44,$1.66,62,0
Nemeses Keystone,Super Rare,#ROTD-EN029,$0.63,$0.93,87,1
Junk Converter,Super Rare,#LED6-EN024,$0.95,$1.88,83,0
Machine Duplication,Super Rare,#LCYW-EN145,$1.25,$2.82,93,2
Joker's Knight (CR),Collector's Rare,#KICO-EN002,$20.99,$28.19,27,0
Sacred Noble Knight of King Artorigus,Ultra Rare,#SHSP-EN087,$3.05,$4.45,61,0
Trap Stun,Secret Rare,#LC5D-EN141,$1.74,$8.45,40,0
Huaquero of the Golden Land,Secret Rare,#SESL-EN033,$0.45,$1.19,86,0
Mist Valley Apex Avian,Super Rare,#SHVA-EN045,$0.53,$0.96,134,3
Queen Dragun Djinn,Super Rare,#GAOV-EN049,$5.00,$5.63,42,0
Masked HERO Acid,Super Rare,#TOCH-EN045,$0.30,$0.74,132,2
Glow-Up Bloom,Ultra Rare,#GFP2-EN115,$0.34,$0.62,178,0
"Snoww, Unlight of Dark World",Super Rare,#SDGU-EN002,$0.75,$1.96,144,0
Immortal Dragon,Super Rare,#DIFO-EN041,$0.25,$0.54,158,0
Adamancipator Researcher,Ultra Rare,#MP21-EN225,$0.22,$0.39,208,0
Ryu Kokki,Super Rare,#DR2-EN091,$14.96,$42.09,34,0
The Phantom Knights of Break Sword,Secret Rare,#BLLR-EN071,$0.31,$1.22,125,0
Mystical Elf,Super Rare,#LOB-062,$0.47,$3.66,150,0
Vampire Fraulein,Ultra Rare,#MP19-EN235,$0.96,$1.87,70,0
Vennominon the King of Poisonous Snakes (UTR),Ultimate Rare,#TAEV-EN014,$16.98,$28.04,42,0
Archfiend Black Skull Dragon,Ultra Rare,#CORE-EN048,$5.45,$7.64,28,0
Cyber Revsystem,Secret Rare,#CYHO-EN059,$2.25,$4.00,118,2
Ojama Pajama,Rare,#LED2-EN024,$1.12,$2.47,27,0
Cyber Barrier Dragon (UTR),Ultimate Rare,#SOI-EN006,$15.00,$83.97,36,0
Relinquished,Ultra Rare,#SRL-EN029,$10.48,$13.98,25,20
Novox's Prayer,Rare,#TP2-008,$29.92,$41.89,35,0
Armed Dragon Flash,Secret Rare,#BLVO-EN051,$0.55,$1.58,113,0
Dogmatika Alba Zoa,Super Rare,#PHHY-EN031,$0.03,$0.26,205,1
Dried Winds,Super Rare,#CORE-EN075,$4.50,$7.61,52,0
Multiply,Super Rare,#AC19-EN002,$2.95,$2.79,21,2
Soul of Purity and Light,Common / Short Print,#LON-066,$0.30,$1.02,59,0
PSY-Framelord Omega,Ultra Rare,#DUOV-EN080,$0.79,$1.02,102,16
Change of Heart,Ultra Rare,#DB1-EN168,$5.21,$27.87,70,10
Duel Academy,Ultra Rare,#MAZE-EN013,$0.30,$0.76,213,1
Santa Claws,Common / Short Print,#STP3-EN018,$9.99,$11.94,29,0
Chaos Sorcerer,Gold Rare,#PGLD-EN084,$2.00,$2.88,60,5
Naturia Barkion,,,$12.89,$20.88,66,3
Official Judge Field Center Token: Black Rose Dragon,,,$64.98,$83.45,7,0
Petiteranodon,Rare,#WISU-EN014,$0.05,$0.09,165,2
Myutant Ultimus,Secret Rare,#PHRA-EN091,$0.75,$1.94,101,0
Fairy Tail - Snow,Super Rare,#OP05-EN005,$2.99,$6.41,50,0
Gemini Spark,Common / Short Print,#TU06-EN018,$4.25,$2.38,11,0
Gold Pride - Start Your Engines!,Super Rare,#PHHY-EN092,$0.16,$0.25,181,0
Heavy Storm,Ultra Rare,#HL2-EN004,$11.62,$20.81,42,7
Solemn Scolding,Secret Rare,#NECH-EN079,$3.45,$4.38,39,0
Cyber Angel Idaten,Ultra Rare,#LART-EN050,$1.88,$1.98,48,0
Time Thief Redoer,Super Rare,#OP12-EN011,$0.95,$1.26,53,28
Melffy Catty,Common / Short Print,#MP21-EN114,$0.15,$0.42,83,2
Magician of Black Chaos,Ultra Rare,#YGLD-ENC01,$0.50,$0.77,128,0
Chaos Dragon Levianeer,Ultra Rare,#DUOV-EN058,$0.99,$1.51,80,8
D - Force,Secret Rare,#BROL-EN009,$0.36,$0.48,195,0
UFO Turtle,Secret Rare,#LCYW-EN233,$0.75,$0.83,37,0
Apprentice Illusion Magician (JMPS-EN007),Ultra Rare,#JMPS-EN007,$9.89,$16.60,53,0
Mereologic Aggregator,Super Rare,#DABL-EN046,$0.13,$0.35,154,1
Live Twin Sunny's Snitch,Common / Short Print,#MP22-EN161,$0.05,$0.22,120,0
Morphing Jar,Common / Short Print,#SDRL-EN007,$1.68,$2.96,53,0
Abyss Dweller,Super Rare,#THSF-EN047,$0.79,$1.09,132,16
Spellbook of Secrets,Ultra Rare,#BLLR-EN075,$0.60,$1.69,85,0
Dragonmaid Sheou,Prismatic Secret Rare,#MP21-EN065,$0.24,$0.40,242,0
Preparation of Rites,Super Rare,#THSF-EN053,$0.40,$0.89,123,6
Mecha Phantom Beast Dracossack,Super Rare,#INCH-EN051,$0.73,$0.89,91,0
Sky Striker Ace - Kagari (Alternate Art),Premium Gold Rare,#MAGO-EN038,$0.49,$1.59,78,0
Ninja Grandmaster Saizo,Secret Rare,#SHVA-EN011,$4.80,$6.36,62,0
Exploder Dragon,Super Rare,#WC07-EN002,$0.79,$4.59,40,0
Archlord Zerato,Ultra Rare,#AST-034,$3.98,$5.90,64,0
Adamancipator Seeker,Secret Rare,#SESL-EN001,$0.35,$1.13,83,0
King of the Swamp,Rare,#AST-082,$0.65,$2.66,189,12
Number C32: Shark Drake Veiss,Ultra Rare,#ABYR-EN039,$6.50,$6.87,44,0
Chaos Sorcerer,Gold Rare,#GLD4-EN012,$5.00,$6.87,24,5
Moulinglacia the Elemental Lord,Secret Rare,#ABYR-EN035,$3.67,$6.34,63,0
"Lyla, Lightsworn Sorceress",Ultra Rare,#BLLR-EN036,$0.40,$0.71,93,1
Pot of Greed,Common / Short Print,#SD2-EN017,$1.00,$3.05,102,77
Dark Grepher,Ultra Rare,#TU03-EN001,$18.00,$27.43,19,0
Runick Slumber,Rare,#TAMA-EN034,$0.10,$0.13,256,0
Reinforcement of the Army,Premium Gold Rare,#MAGO-EN046,$0.25,$0.68,166,18
Drill Warrior,Secret Rare,#LC5D-EN038,$3.50,$5.14,32,0
Fog King,Common / Short Print,#SGX3-ENH01,$0.20,$0.33,49,0
Plunder Patroll Shipshape Ships Shipping,Super Rare,#ETCO-EN088,$0.62,$0.83,80,0
Lost World,Rare,#WISU-EN057,$0.03,$0.09,165,2
Vampire Sucker,Secret Rare,#FLOD-EN050,$1.80,$2.49,93,0
Thousand-Eyes Restrict,Common / Short Print,#SS04-ENB30,$3.75,$3.91,12,0
Command Knight,Secret Rare,#CT1-EN003,$0.43,$3.04,148,0
Macro Cosmos,Common / Short Print,#SGX3-ENF19,$0.58,$1.08,58,10
Fabled Raven,Secret Rare,#DREV-EN091,$9.99,$13.68,38,0
Gravedigger's Trap Hole,Secret Rare,#ETCO-EN078,$2.49,$4.32,80,4
Micro Coder,Ultra Rare,#LOD2-EN002,$2.49,$3.73,54,0
Ring of Destruction,Ultimate Rare,#DPKB-EN036,$13.95,$20.51,85,10
Salamangreat Pyro Phoenix (Starlight Rare),Starlight Rare,#CHIM-EN039,$109.88,$81.99,24,0
Ancient Sacred Wyvern,Ultra Rare,#ANPR-EN043,$10.00,$16.39,12,2
Mirror Force,Ultra Rare,#DPYG-EN027,$1.49,$2.34,79,32
Red-Eyes Black Flare Dragon,Super Rare,#CORE-EN020,$6.50,$6.82,35,0
Relinquished,Ultra Rare,#SDP-001,$0.04,$1.01,488,20
Stardust Illumination,Ultra Rare,#DAMA-EN051,$0.75,$1.46,81,0
Card of Demise,Secret Rare,#LCKC-EN029,$5.00,$5.45,84,0
Dark Magician Girl the Dragon Knight (Purple),Ultra Rare,#DLCS-EN006,$2.49,$3.27,35,0
Exploder Dragonwing,Ultra Rare,#RGBT-EN040,$4.89,$8.17,26,0
Infinitrack Harvester,Ultra Rare,#MP20-EN206,$0.99,$2.15,104,1
White Dragon Wyverburster,Ultra Rare,#BLHR-EN076,$0.34,$0.80,125,0
"Raviel, Lord of Phantasms",Prismatic Secret Rare,#MP21-EN254,$0.24,$0.51,185,0
Big Shield Gardna,Secret Rare,#LCYW-EN032,$6.18,$8.16,45,0
Dark Magic Attack,Ultra Rare,#AST-095,$3.99,$13.59,100,0
Dragon Ravine,Common / Short Print,#SR02-EN026,$0.99,$1.43,40,3
Shared Ride,Secret Rare,#LVAL-EN070,$6.89,$4.29,47,0
Gyakutenno Megami,Ultra Rare,#YAP1-EN005,$1.53,$6.27,101,1
Madolche Hootcake,Super Rare,#LTGY-EN032,$1.94,$3.26,53,0
Surgical Striker - H.A.M.P.,Ultra Rare,#MAMA-EN001,$0.10,$0.28,361,0
Masked HERO Dark Law,Common / Short Print,#LEHD-ENA35,$0.50,$0.97,86,4
The Fabled Cerburrel,Secret Rare,#HA04-EN008,$1.25,$3.39,110,0
Ancient Gear Castle (UTR),Ultimate Rare,#SOI-EN047,$6.15,$16.27,30,0
Odd-Eyes Venom Dragon,Secret Rare,#BLLR-EN006,$0.58,$2.14,92,1
Evilswarm Nightmare,Duel Terminal Super Parallel Rare,#DT07-EN039,$10.91,$13.55,7,6
Turbo Warrior (UTR),Ultimate Rare,#CSOC-EN038,$5.00,$10.16,62,0
Token: Sky Striker Ace,Ultra Rare,#MAMA-EN013,$0.15,$0.43,204,0
Cards of the Red Stone,Ultra Rare,#CORE-EN060,$3.00,$4.51,33,0
The Phantom Knights of Shade Brigandine,Gold Secret Rare,#PGL3-EN015,$1.50,$4.51,101,1
Constellar Pleiades,Premium Gold Rare,#MAGO-EN031,$0.69,$1.23,123,0
"Santa Claws (German) - ""Weihnachtsunterweltler""",Secret Rare,#AC14-DE024,$14.99,$27.05,12,0
Ultimate Offering (Red),Rare,#DL13-EN019,$20.99,$6.76,2,0
Number C39: Utopia Ray Victory (UTR),Ultimate Rare,#JOTL-EN048,$6.29,$8.11,65,0
Monster Reborn,Common / Short Print,#LED7-EN012,$0.29,$0.50,122,72
Number 70: Malevolent Sin,Ultra Rare,#DUSA-EN014,$0.59,$0.91,89,0
Honest,Platinum Rare,#NKRT-EN014,$1.12,$2.53,68,120
Rikka Konkon,Super Rare,#POTE-EN066,$0.10,$0.26,160,0
Snowman Eater,Rare,#RGBT-EN094,$1.35,$1.65,25,0
Black Luster Soldier - Envoy of the Beginning,Ultra Rare,#DUSA-EN053,$1.75,$4.25,92,10
"Retaliating ""C""",Super Rare,#OP04-EN007,$0.45,$2.69,61,0
Link into the VRAINS!,Prismatic Secret Rare,#MP22-EN271,$0.24,$0.58,305,0
Jinzo,Ultra Rare,#DB1-EN067,$2.99,$20.12,69,70
Predaplant Verte Anaconda,Premium Gold Rare,#MGED-EN036,$0.32,$0.54,205,3
Red-Eyes Slash Dragon,Ultra Rare,#LEDU-EN003,$7.50,$11.49,26,0
Link Spider,Common / Short Print,#YS18-EN044,$0.99,$1.20,69,3
Cards of Consonance,Secret Rare,#LCKC-EN092,$1.25,$2.01,117,0
The Dark Creator,Secret Rare,#PTDN-EN017,$9.99,$20.10,69,0
Tsukuyomi,Ultimate Rare,#AP01-EN001,$59.95,$80.38,43,0
Amazing Time Ticket,Secret Rare,#LIOV-EN056,$0.99,$1.41,124,0
Skill Drain,Rare,#DCR-EN049,$1.50,$1.96,20,42
Cyber Angel Natasha,Super Rare,#RATE-EN036,$0.68,$0.82,100,0
Blackwing - Bora the Spear,Duel Terminal Normal Parallel Rare,#DT03-EN002,$3.49,$16.07,20,0
Herald of Purple Light (UTR),Ultimate Rare,#EOJ-EN019,$15.97,$40.17,65,0
Nikitama,Rare,#LVAL-EN037,$0.49,$0.73,55,0
Performapal Pendulum Sorcerer,Secret Rare,#BOSH-EN090,$2.85,$3.21,115,0
Spellbinding Circle,Ultra Rare,#MRL-006,$0.50,$6.17,158,1
"Whitebeard, the Plunder Patroll Helm",Ultra Rare,#IGAS-EN085,$0.70,$2.97,60,0
Scrap Wyvern,Rare,#MGED-EN061,$0.14,$0.19,148,2
Sangan,Super Rare,#RP01-EN036,$45.00,$80.15,25,0
Gernia,Ultra Rare,#CP04-EN001,$13.50,$40.04,23,0
Blackwing - Kris the Crack of Dawn,Ultra Rare,#BLAR-EN061,$0.85,$1.38,87,0
Slate Warrior (TFK-EN003),Super Rare,#TFK-EN003,$80.00,$79.99,4,0
Metaverse,Super Rare,#OP11-EN012,$0.94,$1.86,58,2
"Diabolos, King of the Abyss",Secret Rare,#FOTB-EN061,$9.50,$39.99,36,0
Bujin Yamato,Ultimate Rare,#AP05-EN001,$31.17,$26.65,21,0
Superdreadnought Rail Cannon Gustav Max,Rare,#MGED-EN064,$0.27,$0.39,142,3
Black Metal Dragon,Common / Short Print,#CORE-EN022,$0.45,$1.14,159,0
"Shif, Fairy of the Ghoti",Super Rare,#POTE-EN087,$0.24,$0.38,136,0
Proto-Cyber Dragon,Super Rare,#DR04-EN130,$10.98,$13.30,14,0
Thunder Dragonhawk,Prismatic Secret Rare,#MP19-EN168,$1.52,$2.28,80,0
Emergency Teleport,Ultra Rare,#TDGS-EN053,$2.97,$4.69,74,5
Crystron Halqifibrax,Ultimate Rare,#OP15-EN003,$20.00,$26.54,67,0
Elemental HERO Stratos (Duel Terminal),Duel Terminal Technology Common,#HAC1-EN015,$3.78,$3.98,24,0
The Winged Dragon of Ra,Ultra Rare,#JUMP-EN045,$0.71,$3.79,78,14
Cross-Sheep,Rare,#IGAS-EN047,$1.49,$1.73,74,0
Nimble Angler,Rare,#MAZE-EN042,$0.01,$0.23,228,0
Soul of Purity and Light,Common / Short Print,#SDLS-EN016,$0.29,$1.53,23,0
Rescue-ACE Air Lifter,Rare,#AMDE-EN002,$0.01,$0.12,263,0
Shaman of the Tenyi,Common / Short Print,#OP17-EN024,$1.23,$1.42,56,0
Transcendosaurus Drillygnathus,Rare,#WISU-EN005,$0.03,$0.11,167,0
Magician's Rod,Common / Short Print,#LDS3-EN086,$0.14,$0.20,97,3
Springans Ship - Exblowrer,Ultra Rare,#BLVO-EN046,$0.50,$1.62,136,0
Abyss Soldier,Duel Terminal Normal Parallel Rare,#DT06-EN065,$2.99,$3.45,21,0
Blazewing Butterfly,Super Rare,#TAEV-EN089,$0.10,$0.69,74,0
Masquerade the Blazing Dragon,Super Rare,#MP22-EN208,$0.11,$0.24,327,6
Heavy Storm,Super Rare,#MRD-EN142,$3.50,$4.40,25,7
Magister of Endymion,Common / Short Print,#SR08-EN003,$0.99,$2.14,51,0
Lyrilusc - Celestine Wagtail,Ultra Rare,#LED8-EN036,$0.43,$0.74,205,0
Magister of Endymion,Common / Short Print,#SR08-EN003,$0.99,$2.14,51,0
Lyrilusc - Celestine Wagtail,Ultra Rare,#LED8-EN036,$0.43,$0.74,205,0
D/D Cerberus,Common / Short Print,#SDPD-EN007,$1.29,$1.93,62,0
Snake Rain,Rare,#ANGU-EN051,$0.11,$0.22,198,0
Elemental HERO Sparkman,Super Rare,#OPTP-EN004,$3.42,$9.87,48,0
Magic Cylinder,Common / Short Print,#LDK2-ENY37,$0.47,$0.56,72,0
"Baxia, Brightness of the Yang Zing",Ultra Rare,#GFP2-EN130,$0.05,$0.28,263,0
Chimeratech Fortress Dragon,Common / Short Print,#LEDD-ENB28,$0.65,$2.72,73,5
Royal Decree,Ultra Rare,#DUDE-EN051,$0.38,$0.68,129,0
Blackwing - Steam the Cloak,Super Rare,#DRLG-EN028,$0.67,$1.36,129,0
Greater Polymerization,Prismatic Secret Rare,#MP22-EN050,$0.10,$0.33,230,0
Destiny HERO - Celestial,Ultra Rare,#DUOV-EN069,$0.24,$0.71,178,0
Crusadia Equimax,Prismatic Secret Rare,#MP19-EN107,$0.48,$1.97,97,0
Mage Power,Ultra Rare,#LON-050,$0.59,$5.25,130,0
Gyaku-Gire Panda,Common / Short Print,#DCR-021,$0.99,$3.28,109,0
Live Twin Home,Super Rare,#GEIM-EN018,$0.22,$0.43,141,0
Tenyi Spirit - Vishuda,Common / Short Print,#MP20-EN110,$0.39,$0.46,98,0
"Ryko, Lightsworn Hunter",Common / Short Print,#YS18-EN018,$0.18,$0.65,30,0
Legendary Six Samurai - Shi En,Super Rare,#RYMP-ENSE1,$1.25,$2.62,58,0
Raider's Wing,Rare,#MP21-EN166,$0.10,$0.27,123,2
Elemental HERO Stratos,Common / Short Print,#RYMP-EN008,$2.50,$3.57,50,7
Delinquent Duo,Super Rare,#DB1-EN024,$20.00,$26.17,28,0
T.G. Hyper Librarian,Super Rare,#REDU-ENSE1,$0.75,$1.09,92,0
Harpie Harpist,Super Rare,#CROS-EN099,$3.01,$4.13,83,0
Floodgate Trap Hole (Secret Rare),Secret Rare,#SGX1-ENI23,$0.93,$1.06,81,0
Raigeki,Secret Rare,#LCYW-EN054,$1.80,$7.13,50,60
Royal Decree,Super Rare,#DB2-EN106,$9.37,$26.14,29,0
Foolish Burial (C),Common / Short Print,#SGX3-ENC16,$0.45,$0.49,33,0
Level Eater,Super Rare,#DPCT-ENY07,$0.99,$7.83,47,0
Gate Guardian of Thunder and Wind,Super Rare,#MAZE-EN004,$0.17,$0.38,222,0
Sky Striker Mecha - Shark Cannon,Ultra Rare,#MAMA-EN011,$0.09,$0.26,319,0
"Armed Dragon, the Armored Dragon",Secret Rare,#HAC1-EN173,$0.44,$0.86,143,0
"On Your Mark, Get Set, DUEL!",Super Rare,#MAZE-EN016,$0.04,$0.25,192,0
Pot of Greed,Common / Short Print,#SD1-EN015,$1.48,$2.44,112,77
Elemental Hero Prisma,Gold Rare,#GLD3-EN014,$8.20,$15.61,49,1
Superdreadnought Rail Cannon Gustav Max,Ultra Rare,#JUMP-EN062,$2.75,$8.67,68,3
Galaxy-Eyes Full Armor Photon Dragon,Ultra Rare,#DUPO-EN063,$0.30,$0.94,169,0
Magician's Rod,Super Rare,#MP17-EN074,$1.00,$2.69,55,3
"Freya, Spirit of Victory",Secret Rare,#STON-EN064,$15.00,$13.00,37,0
"Lumina, Lightsworn Summoner",Ultra Rare,#LART-EN045,$1.19,$1.95,49,0
Volcanic Shell,Duel Terminal Normal Parallel Rare,#DT06-EN051,$3.99,$7.79,45,4
Photon Advancer,Ultra Rare,#DUPO-EN034,$0.74,$1.73,80,0
Buster Dragon,Ultra Rare,#GFTP-EN097,$0.23,$0.77,144,0
Lady Debug,Rare,#MAGO-EN128,$0.43,$0.81,103,0
Absolute King Back Jack,Gold Secret Rare,#PGL2-EN002,$0.42,$1.44,199,0
Miscellaneousaurus,Premium Gold Rare,#MAGO-EN015,$0.50,$1.05,117,2
Forbidden Lance,Common / Short Print,#EGO1-EN029,$0.29,$0.70,80,0
Snipe Hunter,Super Rare,#CP03-EN004,$34.98,$77.67,28,0
Solemn Scolding,Secret Rare,#MP15-EN186,$2.49,$4.08,23,0
Tenyi Spirit - Adhara,Common / Short Print,#MP20-EN106,$0.45,$0.57,82,0
Apprentice Illusion Magician,Ultra Rare,#JUMP-EN080,$10.00,$15.50,38,2
Zombie World,Ultra Rare,#DUOV-EN091,$0.44,$1.21,100,6
Crystal Beast Sapphire Pegasus (Secret Rare),Secret Rare,#SGX1-ENF08,$0.75,$0.89,88,0
Sacred Sword of Seven Stars,Rare,#MAGO-EN150,$0.31,$0.79,122,0
Dust Tornado,Super Rare,#PSV-EN011,$2.75,$3.22,19,0
